domain,spf_record,reasons,ip4,ip6,include,a,mx,ptr,exists,redirect
0-classic.ecco-jcc.oxfordjournals.org.skyline.platinet.com,v=spf1 -all,"suspicious_domain,deep_subdomain",0,0,0,0,0,0,0,0
0-classic.jipm.oxfordjournals.org.skyline.ucdenver.edu,v=spf1 a -all,"suspicious_domain,deep_subdomain",0,0,0,1,0,0,0,0
0-cli.sweetandmaxwell.co.uk.library.barakaban.barakaban.org,v=spf1 include:_incspfcheck.mailspike.net -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-coloradocollege.kanopystreaming.com.tiger.org.org.barakaban.org,v=spf1 include:_incspfcheck.mailspike.net -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customers.jisc.ac.uk.pugwash.lib.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.history.com.office.cibcpoc.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.houstin.webofknowledge.com.biblio.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.k8s-dev.webofknowledge.com.biblio.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.mascara1865.webofknowledge.com.biblio.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.ortsinfo.webofknowledge.com.biblio.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.page.webofknowledge.com.biblio.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.pressreader.webofknowledge.com.biblio.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.rizal.webofknowledge.com.biblio.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.ssl.webofknowledge.com.biblio.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.static.webofknowledge.com.biblio.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.travelrewards.webofknowledge.com.biblio.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.webofknowledge.0-customimages.com.biblio.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.webofknowledge.a1.com.biblio.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.webofknowledge.ar.com.biblio.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.webofknowledge.at.com.biblio.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.webofknowledge.com.biblio.anzeiger.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.webofknowledge.com.biblio.bibliothek.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.webofknowledge.com.biblio.libcat.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.webofknowledge.com.biblio.movieclub-int.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.webofknowledge.com.control.biblio.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.webofknowledge.com.correo.biblio.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.webofknowledge.com.mobile.biblio.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-customimages.webofknowledge.get.com.biblio.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-d194ekacf8mn8t-doesdefinatelynotexist.a.ebscohost.com.ezproxy.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-d194ekacf8mn8t.bd.cloudfront.net.skyline.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-d194ekacf8mn8t.bojena69.cloudfront.net.skyline.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-d194ekacf8mn8t.cloudfront.confirmation.net.skyline.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-d194ekacf8mn8t.cloudfront.crm.net.skyline.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-d194ekacf8mn8t.cloudfront.hpcn.net.skyline.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-d194ekacf8mn8t.cloudfront.lyncdiscover.net.skyline.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-d194ekacf8mn8t.cloudfront.net.business.skyline.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-d194ekacf8mn8t.cloudfront.net.devweb.skyline.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-d194ekacf8mn8t.cloudfront.net.skyline.ditlib.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-d194ekacf8mn8t.cloudfront.net.skyline.mirror.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-d194ekacf8mn8t.cloudfront.net.skyline.profiles.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-d194ekacf8mn8t.cloudfront.net.training.skyline.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-d194ekacf8mn8t.cloudfront.tokyo.net.skyline.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
0-ec.consumerreports.org.library.www.evolutionstarbucks.com,v=spf1 -all,"suspicious_domain,deep_subdomain",0,0,0,0,0,0,0,0
0-eds.a.ebscohost.com.oasis.lib.ferreroprestige.com.pl,v=spf1 a mx ~all,"suspicious_domain,deep_subdomain",0,0,0,1,1,0,0,0
0-eds.b.ebscohost.com.library.yogurt-slice.pl,v=spf1 mx a ptr ~all,"suspicious_domain,deep_subdomain",0,0,0,1,1,0,0,0
0-eds.b.ebscohost.com.oak.telentrada.com,v=spf1 -all,"suspicious_domain,deep_subdomain",0,0,0,0,0,0,0,0
0-eds.b.ebscohost.com.oak.witaj-szkolo-na-wesolo.com.pl,v=spf1 a mx ~all,"suspicious_domain,deep_subdomain",0,0,0,1,1,0,0,0
0-error.incites.thomsonreuters.com.wam.avito.ru,v=spf1 -all,"suspicious_domain,deep_subdomain",0,0,0,0,0,0,0,0
0-es-dev2.webofknowledge.com.dewey2.library.kinepolis.fr,v=spf1 include:spf.kinepolis.com -all,"suspicious_domain,deep_subdomain",0,0,1,0,0,0,0,0
